,type,address,zip,price,date
4141,RESIDENTIAL,1 CENTRAL PARK WEST,10023,10,2/15/2017
4142,RESIDENTIAL,1 CENTRAL PARK WEST,10023,10,2/15/2017
4143,RESIDENTIAL,1 CENTRAL PARK WEST,10023,10,2/15/2017
4144,RESIDENTIAL,1 CENTRAL PARK WEST,10023,10,2/15/2017
4145,RESIDENTIAL,1 CENTRAL PARK WEST,10023,7300000,10/10/2017
4146,RESIDENTIAL,1 CENTRAL PARK WEST,10023,3125000,7/10/2017
4147,RESIDENTIAL,43 W 61 STREET,10023,1245000,1/17/2017
4148,RESIDENTIAL,43 WEST 61ST   STREET,10023,1375000,11/8/2017
4149,RESIDENTIAL,43 WEST 61ST STREET,10023,1621000,2/10/2017
4150,RESIDENTIAL,62 WEST 62ND   STREET,10023,0,6/1/2017
4151,RESIDENTIAL,62 WEST 62ND   STREET,10023,0,9/12/2017
4152,RESIDENTIAL,62 WEST 62ND   STREET,10023,2400000,11/9/2017
4153,RESIDENTIAL,62 WEST 62ND STREET,10023,0,10/2/2017
4154,RESIDENTIAL,62 WEST 62ND STREET,10023,0,3/24/2017
4155,RESIDENTIAL,62 WEST 62ND STREET,10023,0,10/31/2017
4156,RESIDENTIAL,62 WEST 62ND STREET,10023,1100000,4/28/2017
4157,RESIDENTIAL,62 WEST 62ND   STREET,10023,920000,7/25/2017
4158,RESIDENTIAL,15 CENTRAL PARK WEST,10023,6250000,10/25/2017
4159,RESIDENTIAL,15 CENTRAL PARK WEST,10023,3550000,12/7/2017
4160,RESIDENTIAL,15 CENTRAL PARK WEST,10023,27500000,1/24/2017
4161,RESIDENTIAL,15 CENTRAL PARK WEST,10023,0,3/1/2017
4162,RESIDENTIAL,15 CENTRAL PARK WEST,10023,17650000,1/12/2017
4163,RESIDENTIAL,15 CENTRAL PARK WEST,10023,28000000,5/8/2017
4164,RESIDENTIAL,15 CENTRAL PARK WEST,10023,50550000,5/15/2017
4165,RESIDENTIAL,15 CENTRAL PARK WEST,10023,13500000,5/19/2017
4166,RESIDENTIAL,15 CENTRAL PARK WEST,10023,21500000,12/29/2017
4167,RESIDENTIAL,15 CENTRAL PARK WEST,10023,29500000,12/18/2017
4168,RESIDENTIAL,25 CENTRAL PARK WEST,10023,10,2/9/2017
4169,RESIDENTIAL,25 CENTRAL PARK WEST,10023,0,5/8/2017
4170,RESIDENTIAL,25 CENTRAL PARK WEST,10023,3500000,1/30/2017
4171,RESIDENTIAL,25 CENTRAL PARK WEST,10023,1200000,5/9/2017
4172,RESIDENTIAL,25 CENTRAL PARK WEST,10023,0,12/8/2017
4173,RESIDENTIAL,25 CENTRAL PARK WEST,10023,2175000,12/8/2017
4174,RESIDENTIAL,25 CENTRAL PARK WEST,10023,2450000,6/2/2017
4175,RESIDENTIAL,25 CENTRAL PARK WEST,10023,2125000,3/17/2017
4176,RESIDENTIAL,25 CENTRAL PARK WEST,10023,0,3/17/2017
4177,RESIDENTIAL,25 CENTRAL PARK WEST,10023,3800000,7/20/2017
4178,RESIDENTIAL,25 CENTRAL PARK WEST,10023,0,7/20/2017
4179,RESIDENTIAL,25 CENTRAL PARK WEST,10023,613500,11/1/2017
4180,RESIDENTIAL,25 CENTRAL PARK WEST,10023,5275000,6/23/2017
4181,RESIDENTIAL,25 CENTRAL PARK WEST,10023,2582282,7/27/2017
4182,RESIDENTIAL,25 CENTRAL PARK WEST,10023,0,11/29/2017
4183,RESIDENTIAL,25 CENTRAL PARK WEST,10023,1995000,10/10/2017
4184,RESIDENTIAL,25 CENTRAL PARK WEST,10023,1800000,1/19/2017
4185,RESIDENTIAL,25 CENTRAL PARK WEST,10023,5550187,3/10/2017
4186,RESIDENTIAL,30 WEST 63RD STREET,10023,0,8/4/2017
4187,RESIDENTIAL,30 WEST 63RD   STREET,10023,5651287,6/12/2017
4188,RESIDENTIAL,30 WEST 63RD STREET,10023,0,8/4/2017
4189,RESIDENTIAL,30 WEST 63RD STREET,10023,1385000,9/8/2017
4190,RESIDENTIAL,30 WEST 63RD   STREET,10023,2350000,12/18/2017
4191,RESIDENTIAL,30 WEST 63RD   STREET,10023,2550000,5/22/2017
4192,RESIDENTIAL,30 WEST 63RD   STREET,10023,2240150,3/15/2017
4193,RESIDENTIAL,30 WEST 63RD   STREET,10023,3450000,3/15/2017
4194,RESIDENTIAL,30 WEST 63RD   STREET,10023,2318518,3/15/2017
4195,RESIDENTIAL,30 W 63RD STREET,10023,1720000,12/21/2017
4196,RESIDENTIAL,30 WEST 63RD   STREET,10023,3910000,8/17/2017
4197,RESIDENTIAL,20 WEST 64TH STREET,10023,1300000,8/3/2017
4198,RESIDENTIAL,20 WEST 64TH   STREET,10023,0,3/9/2017
4199,RESIDENTIAL,20 WEST 64TH   STREET,10023,0,10/5/2017
4200,RESIDENTIAL,20 WEST 64TH   STREET,10023,0,1/4/2017
4201,RESIDENTIAL,20 WEST 64TH   STREET,10023,0,1/4/2017
4202,RESIDENTIAL,20 WEST 64TH STREET,10023,1560000,9/11/2017
4203,RESIDENTIAL,20 WEST 64TH   STREET,10023,0,1/4/2017
4204,RESIDENTIAL,20 WEST 64TH   STREET,10023,1300000,7/17/2017
4205,RESIDENTIAL,20 WEST 64TH   STREET,10023,0,10/19/2017
4206,RESIDENTIAL,20 WEST 64TH   STREET,10023,0,7/18/2017
4207,RESIDENTIAL,20 WEST 64TH   STREET,10023,0,7/18/2017
4208,RESIDENTIAL,20 WEST 64TH STREET,10023,2250000,8/10/2017
4209,RESIDENTIAL,15 WEST 63RD STREET,10023,8800000,5/31/2017
4210,RESIDENTIAL,15 WEST 63RD   STREET,10023,8500000,7/12/2017
4211,RESIDENTIAL,15 WEST 63RD,10023,16000000,1/10/2017
4212,RESIDENTIAL,43 WEST 64TH STREET,10023,7229575,8/30/2017
4213,RESIDENTIAL,43 WEST 64TH   STREET,10023,0,8/22/2017
4214,RESIDENTIAL,43 WEST 64TH   STREET,10023,13300000,3/31/2017
4215,RESIDENTIAL,43 WEST 64TH STREET,10023,7800000,12/8/2017
4216,RESIDENTIAL,29 WEST 65TH STREET,10023,970000,2/24/2017
4217,RESIDENTIAL,29 WEST 65TH STREET,10023,900000,8/23/2017
4218,RESIDENTIAL,22 WEST 66TH STREET,10023,2550000,9/25/2017
4219,RESIDENTIAL,45 WEST 67TH   STREET,10023,1625000,4/4/2017
4220,RESIDENTIAL,45 WEST 67TH STREET,10023,1175000,10/3/2017
4221,RESIDENTIAL,45 WEST 67TH  STREET,10023,0,11/14/2017
4222,RESIDENTIAL,45 WEST 67TH   STREET,10023,0,11/14/2017
4223,RESIDENTIAL,45 WEST 67TH   STREET,10023,1200000,8/2/2017
4224,RESIDENTIAL,45 WEST 67TH STREET,10023,2650000,1/31/2017
4225,RESIDENTIAL,45 WEST 67TH STREET,10023,2800000,12/21/2017
4226,RESIDENTIAL,41 WEST 72ND   STREET,10023,1350000,1/4/2017
4227,RESIDENTIAL,41 WEST 72ND   STREET,10023,875000,5/1/2017
4228,RESIDENTIAL,41 WEST 72ND STREET,10023,0,11/14/2017
4229,RESIDENTIAL,41 WEST 72ND STREET,10023,985000,11/14/2017
4230,RESIDENTIAL,41 WEST 72ND   STREET,10023,1045000,10/11/2017
4231,RESIDENTIAL,41 WEST 72ND   STREET,10023,2495000,8/17/2017
4232,RESIDENTIAL,41 WEST 72ND STREET,10023,1337500,6/30/2017
4233,RESIDENTIAL,41 WEST 72ND STREET,10023,1400000,7/17/2017
4234,RESIDENTIAL,41 WEST 72ND STREET,10023,1050000,5/19/2017
4235,RESIDENTIAL,41 WEST 72ND   STREET,10023,1048797,6/1/2017
4236,RESIDENTIAL,41 WEST 72ND STREET,10023,960000,8/23/2017
4237,RESIDENTIAL,41 WEST 72ND   STREET,10023,990000,1/11/2017
4238,RESIDENTIAL,41 WEST 72ND STREET,10023,1699912,7/17/2017
4239,RESIDENTIAL,41 WEST 72ND   STREET,10023,950000,1/11/2017
4240,RESIDENTIAL,41 WEST 72ND STREET,10023,1699912,7/17/2017
4241,RESIDENTIAL,41 WEST 72ND   STREET,10023,325000,8/24/2017
4242,RESIDENTIAL,41 WEST 72ND   STREET,10023,925000,1/11/2017
