,type,address,zip,price,date
0,21  OFFICE BUILDINGS,1865 BROADWAY,10023,300000000,1/30/2015
1,21 OFFICE BUILDINGS,125 WEST END AVENUE,10023,175000000,6/15/2018
2,21 OFFICE BUILDINGS,1841 BROADWAY,10023,0,9/5/2019
3,21 OFFICE BUILDINGS,125 WEST END AVENUE,10023,230000000,10/30/2019
4,22  STORE BUILDINGS,207 WEST 75TH STREET,10023,13250000,1/8/2015
5,22 STORE BUILDINGS,156 WEST 72ND   STREET,10023,0,7/27/2017
6,22 STORE BUILDINGS,156 WEST 72ND   STREET,10023,7700000,7/27/2017
7,22 STORE BUILDINGS,159 WEST 72ND STREET,10023,0,4/17/2018
8,26  OTHER HOTELS,340 AMSTERDAM AVE,10024,0,10/9/2015
9,26  OTHER HOTELS,242 WEST 76TH   STREET,10023,69420000,3/24/2016
10,26  OTHER HOTELS,2178 BROADWAY,10024,139999999,6/24/2016
11,26  OTHER HOTELS,346 WEST 71ST   STREET,10023,27625000,6/15/2016
12,26  OTHER HOTELS,350 WEST 71ST   STREET,10023,27625000,6/15/2016
13,26  OTHER HOTELS,305 WEST END AVENUE,10023,145000000,12/5/2016
14,26 OTHER HOTELS,115-123 WEST 70TH STREET,10023,0,12/21/2018
15,26 OTHER HOTELS,266 WEST 71ST   STREET,10023,0,1/9/2018
16,26 OTHER HOTELS,266 WEST 71ST STREET,10023,5200000,1/8/2019
17,26 OTHER HOTELS,342 WEST 71ST STREET,10023,9600000,6/6/2019
18,29  COMMERCIAL GARAGES,40 RIVERSIDE BOULEVARD,10069,410826638,4/20/2015
19,29  COMMERCIAL GARAGES,20 RIVERSIDE BOULEVARD,10069,209623082,11/18/2015
20,29  COMMERCIAL GARAGES,WEST END AVENUE,10023,55241785,11/18/2015
21,31  COMMERCIAL VACANT LAND,JOE DIMAGGIO HIGHWAY,0,25000000,8/20/2015
22,31  COMMERCIAL VACANT LAND,N/A WEST END AVENUE,10069,0,4/20/2015
23,31  COMMERCIAL VACANT LAND,N/A RIVERSIDE BOULEVARD,10023,0,11/18/2015
24,31  COMMERCIAL VACANT LAND,208 AMSTERDAM AVENUE,10023,0,7/14/2016
25,31 COMMERCIAL VACANT LAND,36 WEST 66TH STREET,10023,0,9/14/2017
26,31 COMMERCIAL VACANT LAND,38 WEST 66TH STREET,10023,0,9/14/2017
27,31 COMMERCIAL VACANT LAND,40 WEST 66TH STREET,10023,0,9/14/2017
28,31 COMMERCIAL VACANT LAND,44 WEST 66TH STREET,10023,0,9/14/2017
29,31 COMMERCIAL VACANT LAND,N/A WEST END AVENUE,10023,0,6/15/2018
30,31 COMMERCIAL VACANT LAND,RIVERSIDE BOULEVARD,10069,1,3/9/2018
31,31 COMMERCIAL VACANT LAND,RIVERSIDE BOULEVARD,10069,1,3/9/2018
32,31 COMMERCIAL VACANT LAND,RIVERSIDE BOULEVARD,10069,1,3/9/2018
33,31 COMMERCIAL VACANT LAND,N/A WEST END AVENUE,10069,230000000,10/30/2019
34,33  EDUCATIONAL FACILITIES,208 AMSTERDAM AVENUE,10023,275000000,10/15/2015
35,33  EDUCATIONAL FACILITIES,260-262 WEST 78TH   STREET,10024,80000000,8/20/2015
36,33  EDUCATIONAL FACILITIES,260 WEST 78TH   STREET,10024,125000,8/20/2015
37,33  EDUCATIONAL FACILITIES,260-262 WEST 78TH   STREET,10024,0,8/20/2015
38,33 EDUCATIONAL FACILITIES,15 WEST 65TH   STREET,10023,147000000,11/15/2017
39,33 EDUCATIONAL FACILITIES,15 WEST 65TH   STREET,10023,0,11/15/2017
40,33 EDUCATIONAL FACILITIES,260-262 WEST 78TH STREET,10024,97125777,9/7/2018
41,33 EDUCATIONAL FACILITIES,372-378 WEST END AVENUE,10024,52298495,9/7/2018
42,34  THEATRES,236 WEST 78TH STREET,10024,0,11/22/2016
43,34 THEATRES,147 COLUMBUS AVENUE,10023,0,6/15/2018
44,34 THEATRES,77 WEST 66TH STREET,10023,0,6/15/2018
45,34 THEATRES,47 WEST 66TH STREET,10023,0,6/15/2018
46,34 THEATRES,30 WEST 67TH STREET,10023,0,6/15/2018
47,34 THEATRES,149 COLUMBUS AVENUE,10023,980000000,6/15/2018
48,38  ASYLUMS AND HOMES,164 WEST 74TH STREET,10023,26800000,2/19/2016
49,42  CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC,2101 BROADWAY,10023,0,3/9/2015
50,42  CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC,21 WEST END AVENUE,10023,0,6/16/2016
51,43  CONDO OFFICE BUILDINGS,27 WEST 72ND   STREET,10023,0,2/17/2015
52,43  CONDO OFFICE BUILDINGS,180 WEST END AVENUE,10023,840000,5/1/2015
53,43  CONDO OFFICE BUILDINGS,180 WEST END AVENUE,10023,10,2/1/2015
54,43  CONDO OFFICE BUILDINGS,150 WEST END AVENUE,10023,0,11/5/2015
55,43  CONDO OFFICE BUILDINGS,170 WEST END AVENUE,10023,400000,12/21/2015
56,43  CONDO OFFICE BUILDINGS,50 RIVERSIDE BOULEVARD,10069,0,10/9/2015
57,43  CONDO OFFICE BUILDINGS,50 RIVERSIDE BOULEVARD,10069,0,10/9/2015
58,43  CONDO OFFICE BUILDINGS,53 WEST 76TH   STREET,10023,0,3/23/2016
59,43  CONDO OFFICE BUILDINGS,150 WEST END AVENUE,10023,617500,8/25/2016
60,43  CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,325000,12/20/2016
61,43  CONDO OFFICE BUILDINGS,2211 BROADWAY,10024,3093200,6/30/2016
62,43  CONDO OFFICE BUILDINGS,2211 BROADWAY,10024,2677400,9/7/2016
63,43  CONDO OFFICE BUILDINGS,120 RIVERSIDE BOULEVARD,10069,2246857,3/24/2016
64,43  CONDO OFFICE BUILDINGS,120 RIVERSIDE BOULEVARD,10069,2668143,3/24/2016
65,43 CONDO OFFICE BUILDINGS,105 WEST 77TH   STREET,10024,0,9/1/2017
66,43 CONDO OFFICE BUILDINGS,150 WEST END AVENUE,10023,620000,8/10/2017
67,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
68,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
69,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
70,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
71,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
72,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
73,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
74,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
75,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
76,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
77,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
78,43 CONDO OFFICE BUILDINGS,140 WEST END AVENUE,10023,0,3/23/2017
79,43 CONDO OFFICE BUILDINGS,80 RIVERSIDE BOULEVARD,10069,2150000,9/26/2017
80,43 CONDO OFFICE BUILDINGS,625 WEST 59TH   STREET,10019,62500000,12/28/2017
81,43 CONDO OFFICE BUILDINGS,625 WEST 59TH   STREET,10019,0,12/28/2017
82,43 CONDO OFFICE BUILDINGS,625 WEST 59TH   STREET,10019,0,12/28/2017
83,43 CONDO OFFICE BUILDINGS,625 WEST 59TH   STREET,10019,0,12/28/2017
84,43 CONDO OFFICE BUILDINGS,205 WEST END AVENUE,10023,550000,8/2/2017
85,43 CONDO OFFICE BUILDINGS,25 CENTRAL PARK WEST,10023,0,7/23/2018
86,43 CONDO OFFICE BUILDINGS,170 WEST END AVENUE,10023,1250000,4/13/2018
87,43 CONDO OFFICE BUILDINGS,200 RIVERSIDE BOULEVARD,10069,3650000,9/21/2018
88,43 CONDO OFFICE BUILDINGS,80 WEST END AVENUE,10023,0,10/3/2019
89,43 CONDO OFFICE BUILDINGS,80 WEST END AVENUE,10023,100,5/6/2019
90,43 CONDO OFFICE BUILDINGS,2211 BROADWAY,10024,1400000,10/25/2019
91,44  CONDO PARKING,50 RIVERSIDE BOULEVARD,10069,7691278,10/9/2015
92,44 CONDO PARKING,220 RIVERSIDE BOULEVARD,10069,22656000,11/8/2017
93,44 CONDO PARKING,240 RIVERSIDE BOULEVARD,10069,0,11/8/2017
94,44 CONDO PARKING,120 RIVERSIDE BOULEVARD,10069,0,11/8/2017
95,44 CONDO PARKING,100 RIVERSIDE BOULEVARD,10069,12744000,11/8/2017
96,44 CONDO PARKING,80 RIVERSIDE BOULEVARD,10069,11800000,11/8/2017
97,44 CONDO PARKING,627 WEST 59TH STREET,10019,12240000,4/9/2019
98,44 CONDO PARKING,627 WEST 59TH STREET,10019,12240000,4/9/2019
99,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,1335000,10/5/2015
100,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,15655000,7/28/2015
101,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,7/28/2015
102,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,3550000,5/28/2015
103,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,7/28/2015
104,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,8/5/2015
105,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,2358000,8/26/2015
106,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,7/28/2015
107,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,7/28/2015
108,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,1300000,6/23/2015
109,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,7/13/2015
110,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,1450000,4/8/2015
111,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,1240000,1/22/2015
112,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,975000,5/27/2015
113,45  CONDO HOTELS,1965 BROADWAY,10023,225000,11/30/2015
114,45  CONDO HOTELS,1965 BROADWAY,10023,223000,10/8/2015
115,45  CONDO HOTELS,1965 BROADWAY,10023,302172,9/30/2015
116,45  CONDO HOTELS,1965 BROADWAY,10023,304200,6/24/2015
117,45  CONDO HOTELS,1965 BROADWAY,10023,195000,1/8/2015
118,45  CONDO HOTELS,1965 BROADWAY,10023,210000,3/2/2015
119,45  CONDO HOTELS,1965 BROADWAY,10023,0,2/27/2015
120,45  CONDO HOTELS,1965 BROADWAY,10023,211000,5/13/2015
121,45  CONDO HOTELS,1965 BROADWAY,10023,210000,12/7/2015
122,45  CONDO HOTELS,1965 BROADWAY,10023,295000,6/11/2015
123,45  CONDO HOTELS,1965 BROADWAY,10023,265000,5/27/2015
124,45  CONDO HOTELS,1965 BROADWAY,10023,172000,6/1/2015
125,45  CONDO HOTELS,1965 BROADWAY,10023,175000,4/7/2015
126,45  CONDO HOTELS,1965 BROADWAY,10023,224094,9/8/2015
127,45  CONDO HOTELS,1965 BROADWAY,10023,226122,4/23/2015
128,45  CONDO HOTELS,1965 BROADWAY,10023,225108,4/2/2015
129,45  CONDO HOTELS,1965 BROADWAY,10023,228150,2/3/2015
130,45  CONDO HOTELS,1965 BROADWAY,10023,223080,1/28/2015
131,45  CONDO HOTELS,1965 BROADWAY,10023,221052,12/31/2015
132,45  CONDO HOTELS,1965 BROADWAY,10023,221052,7/17/2015
133,45  CONDO HOTELS,1965 BROADWAY,10023,211000,5/7/2015
134,45  CONDO HOTELS,1965 BROADWAY,10023,218010,3/16/2015
135,45  CONDO HOTELS,1965 BROADWAY,10023,0,10/8/2015
136,45  CONDO HOTELS,1965 BROADWAY,10023,0,7/16/2015
137,45  CONDO HOTELS,1965 BROADWAY,10023,0,12/18/2015
138,45  CONDO HOTELS,1965 BROADWAY,10023,278850,10/19/2015
139,45  CONDO HOTELS,1965 BROADWAY,10023,269724,9/15/2015
140,45  CONDO HOTELS,1965 BROADWAY,10023,269724,6/17/2015
141,45  CONDO HOTELS,1965 BROADWAY,10023,272766,6/15/2015
142,45  CONDO HOTELS,1965 BROADWAY,10023,273780,5/22/2015
143,45  CONDO HOTELS,1965 BROADWAY,10023,268710,4/2/2015
144,45  CONDO HOTELS,1965 BROADWAY,10023,268710,2/27/2015
145,45  CONDO HOTELS,1965 BROADWAY,10023,268710,1/14/2015
146,45  CONDO HOTELS,1965 BROADWAY,10023,180492,12/31/2015
147,45  CONDO HOTELS,1965 BROADWAY,10023,176500,11/30/2015
148,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,188000,11/4/2015
149,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,5/14/2015
150,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,285000,2/23/2015
151,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,170000,10/15/2015
152,45  CONDO HOTELS,155 WEST 66TH STREET,10023,190000,6/25/2015
153,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,125000,7/1/2015
154,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,197500,9/14/2015
155,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,145000,8/3/2015
156,45  CONDO HOTELS,155 WEST 66TH STREET,10023,194500,8/18/2015
157,45  CONDO HOTELS,155 WEST 66TH STREET,10023,180000,3/16/2015
158,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,262500,12/17/2015
159,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,12/18/2015
160,45  CONDO HOTELS,155 W. 66TH STREET,10023,0,11/5/2015
161,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,8/4/2015
162,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,149000,7/29/2015
163,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,190000,7/29/2015
164,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,195000,7/16/2015
165,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,190000,3/9/2015
166,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,195000,10/8/2015
167,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,2/26/2015
168,45  CONDO HOTELS,155 WEST 66TH STREET,10023,173000,6/3/2015
169,45  CONDO HOTELS,155 WEST 66TH STREET,10023,100000,11/13/2015
170,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,145000,6/29/2015
171,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,142000,6/3/2015
172,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,4/29/2015
173,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,190000,7/23/2015
174,45  CONDO HOTELS,155 WEST 66TH STREET,10023,260000,9/17/2015
175,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,255000,6/25/2015
176,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,255000,5/4/2015
177,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,265000,8/4/2015
178,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,192500,6/25/2015
179,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,201400,5/7/2015
180,45  CONDO HOTELS,155 WEST 66TH STREET,10023,297065,5/4/2015
181,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,297000,1/26/2015
182,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,290000,1/15/2015
183,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,275000,7/20/2015
184,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,262500,5/4/2015
185,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,3250000,7/1/2016
186,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,1525000,2/5/2016
187,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,8/30/2016
188,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,1300000,1/13/2016
189,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,1150000,12/20/2016
190,45  CONDO HOTELS,1 CENTRAL PARK WEST,10023,1350000,7/15/2016
191,45  CONDO HOTELS,1965 BROADWAY,10023,309270,12/5/2016
192,45  CONDO HOTELS,1965 BROADWAY,10023,309270,9/19/2016
193,45  CONDO HOTELS,1965 BROADWAY,10023,309270,7/27/2016
194,45  CONDO HOTELS,1965 BROADWAY,10023,314340,1/20/2016
195,45  CONDO HOTELS,1965 BROADWAY,10023,270000,9/1/2016
196,45  CONDO HOTELS,1965 BROADWAY,10023,213000,11/9/2016
197,45  CONDO HOTELS,1965 BROADWAY,10023,211460,1/18/2016
198,45  CONDO HOTELS,1965 BROADWAY,10023,200000,4/1/2016
199,45  CONDO HOTELS,1965 BROADWAY,10023,193000,8/11/2016
200,45  CONDO HOTELS,1965 BROADWAY,10023,305000,1/28/2016
201,45  CONDO HOTELS,1965 BROADWAY,10023,268000,11/7/2016
202,45  CONDO HOTELS,1965 BROADWAY,10023,264000,8/31/2016
203,45  CONDO HOTELS,1965 BROADWAY,10023,0,8/22/2016
204,45  CONDO HOTELS,1965 BROADWAY,10023,232206,9/19/2016
205,45  CONDO HOTELS,1965 BROADWAY,10023,232206,8/9/2016
206,45  CONDO HOTELS,1965 BROADWAY,10023,232206,7/7/2016
207,45  CONDO HOTELS,1965 BROADWAY,10023,232206,5/24/2016
208,45  CONDO HOTELS,1965 BROADWAY,10023,232206,5/6/2016
209,45  CONDO HOTELS,1965 BROADWAY,10023,228150,4/1/2016
210,45  CONDO HOTELS,1965 BROADWAY,10023,228150,3/7/2016
211,45  CONDO HOTELS,1965 BROADWAY,10023,229164,3/7/2016
212,45  CONDO HOTELS,1965 BROADWAY,10023,230178,2/1/2016
213,45  CONDO HOTELS,1965 BROADWAY,10023,278850,4/11/2016
214,45  CONDO HOTELS,1965 BROADWAY,10023,221052,4/20/2016
215,45  CONDO HOTELS,1965 BROADWAY,10023,221052,2/1/2016
216,45  CONDO HOTELS,1965 BROADWAY,10023,309270,12/5/2016
217,45  CONDO HOTELS,1965 BROADWAY,10023,180492,3/21/2016
218,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,1/14/2016
219,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,191000,5/12/2016
220,45  CONDO HOTELS,155 WEST 66TH STREET,10023,139000,11/30/2016
221,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,146000,1/28/2016
222,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,195000,2/25/2016
223,45  CONDO HOTELS,155 WEST 66TH STREET,10023,190000,9/12/2016
224,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,1/26/2016
225,45  CONDO HOTELS,155 WEST 66TH STREET,10023,295000,8/31/2016
226,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,3/14/2016
227,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,12/22/2016
228,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,190000,4/1/2016
229,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,191000,8/5/2016
230,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,261900,6/1/2016
231,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,6/30/2016
232,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,250000,5/26/2016
233,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,265000,4/1/2016
234,45  CONDO HOTELS,155 WEST 66TH STREET,10023,140000,4/27/2016
235,45  CONDO HOTELS,155 WEST 66TH STREET,10023,0,4/10/2016
236,45  CONDO HOTELS,155 WEST 66TH STREET,10023,148000,4/1/2016
237,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,190000,5/26/2016
238,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,0,7/1/2016
239,45  CONDO HOTELS,155 WEST 66TH STREET,10023,247500,6/30/2016
240,45  CONDO HOTELS,155 WEST 66TH STREET,10023,259000,6/30/2016
241,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,191000,11/17/2016
242,45  CONDO HOTELS,155 WEST 66TH STREET,10023,185000,6/30/2016
243,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,300000,4/27/2016
244,45  CONDO HOTELS,155 WEST 66TH   STREET,10023,300000,4/28/2016
245,45  CONDO HOTELS,155 WEST 66TH STREET,10023,300000,3/24/2016
246,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,3850000,9/14/2017
247,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,12/7/2017
248,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,2500000,11/1/2017
249,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,1000000,10/18/2017
250,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,1395000,5/26/2017
251,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,1362500,7/20/2017
252,45 CONDO HOTELS,1965 BROADWAY,10023,220000,5/11/2017
253,45 CONDO HOTELS,1965 BROADWAY,10023,212500,6/1/2017
254,45 CONDO HOTELS,1965 BROADWAY,10023,219500,12/21/2017
255,45 CONDO HOTELS,1965 BROADWAY,10023,274500,11/8/2017
256,45 CONDO HOTELS,1965 BROADWAY,10023,210000,12/21/2017
257,45 CONDO HOTELS,1965 BROADWAY,10023,295000,3/13/2017
258,45 CONDO HOTELS,1965 BROADWAY,10023,302500,10/13/2017
259,45 CONDO HOTELS,1965 BROADWAY,10023,175000,3/28/2017
260,45 CONDO HOTELS,1965 BROADWAY,10023,210000,9/19/2017
261,45 CONDO HOTELS,1965 BROADWAY,10023,208500,12/5/2017
262,45 CONDO HOTELS,1965 BROADWAY,10023,202100,8/16/2017
263,45 CONDO HOTELS,1965 BROADWAY,10023,319410,12/8/2017
264,45 CONDO HOTELS,1965 BROADWAY,10023,319410,12/27/2017
265,45 CONDO HOTELS,1965 BROADWAY,10023,238290,12/27/2017
266,45 CONDO HOTELS,1965 BROADWAY,10023,304200,7/31/2017
267,45 CONDO HOTELS,1965 BROADWAY,10023,278000,12/21/2017
268,45 CONDO HOTELS,1965 BROADWAY,10023,183534,12/27/2017
269,45 CONDO HOTELS,155 WEST 66TH STREET,10023,194000,3/21/2017
270,45 CONDO HOTELS,155 WEST 66TH STREET,10023,0,5/31/2017
271,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,192000,7/7/2017
272,45 CONDO HOTELS,155 WEST 66TH STREET,10023,255000,8/8/2017
273,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,260000,7/19/2017
274,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,265000,2/10/2017
275,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,0,2/10/2017
276,45 CONDO HOTELS,155 WEST 66TH STREET,10023,0,6/5/2017
277,45 CONDO HOTELS,155 WEST 66TH STREET,10023,75000,6/30/2017
278,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,195000,5/17/2017
279,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,195000,3/28/2017
280,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,0,7/25/2017
281,45 CONDO HOTELS,155 WEST 66TH STREET,10023,258500,10/27/2017
282,45 CONDO HOTELS,155 WEST 66TH STREET,10023,325000,9/7/2017
283,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,2/22/2018
284,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,6750000,5/8/2018
285,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,5/8/2018
286,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,1512000,1/25/2018
287,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,8/30/2018
288,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,5/15/2018
289,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,1575000,7/24/2018
290,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,3450000,6/28/2018
291,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,950000,12/28/2018
292,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,1425000,11/16/2018
293,45 CONDO HOTELS,1965 BROADWAY,10023,0,8/8/2018
294,45 CONDO HOTELS,1965 BROADWAY,10023,305000,6/20/2018
295,45 CONDO HOTELS,1965 BROADWAY,10023,206000,2/20/2018
296,45 CONDO HOTELS,1965 BROADWAY,10023,205000,10/23/2018
297,45 CONDO HOTELS,1965 BROADWAY,10023,210000,10/19/2018
298,45 CONDO HOTELS,1965 BROADWAY,10023,0,11/16/2018
299,45 CONDO HOTELS,1965 BROADWAY,10023,281500,7/12/2018
300,45 CONDO HOTELS,1965 BROADWAY,10023,0,10/25/2018
301,45 CONDO HOTELS,1965 BROADWAY,10023,319410,9/7/2018
302,45 CONDO HOTELS,1965 BROADWAY,10023,319410,9/14/2018
303,45 CONDO HOTELS,1965 BROADWAY,10023,319410,10/8/2018
304,45 CONDO HOTELS,1965 BROADWAY,10023,319410,12/27/2018
305,45 CONDO HOTELS,1965 BROADWAY,10023,238290,2/28/2018
306,45 CONDO HOTELS,1965 BROADWAY,10023,237276,8/3/2018
307,45 CONDO HOTELS,155 WEST 66TH STREET,10023,10,11/5/2018
308,45 CONDO HOTELS,155 WEST 66TH STREET,10023,250000,7/16/2018
309,45 CONDO HOTELS,155 WEST 66TH STREET,10023,150000,2/20/2018
310,45 CONDO HOTELS,155 WEST 66TH STREET,10023,0,12/4/2018
311,45 CONDO HOTELS,155 WEST 66TH STREET,10023,175000,8/22/2018
312,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,250000,3/28/2018
313,45 CONDO HOTELS,155 WEST 66TH STREET,10023,0,4/18/2018
314,45 CONDO HOTELS,155 WEST 66TH STREET,10023,0,12/17/2018
315,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,255000,2/20/2018
316,45 CONDO HOTELS,155 WEST 66TH STREET,10023,252000,5/14/2018
317,45 CONDO HOTELS,155 WEST 66TH STREET,10023,235000,7/11/2018
318,45 CONDO HOTELS,155 WEST 66TH STREET,10023,240000,9/13/2018
319,45 CONDO HOTELS,155 WEST 66TH STREET,10023,189000,6/8/2018
320,45 CONDO HOTELS,155 WEST 66TH STREET,10023,140000,6/20/2018
321,45 CONDO HOTELS,155 WEST 66TH STREET,10023,175000,4/17/2018
322,45 CONDO HOTELS,155 WEST 66TH STREET,10023,252000,9/20/2018
323,45 CONDO HOTELS,155 WEST 66TH STREET,10023,182500,8/8/2018
324,45 CONDO HOTELS,155 WEST 66TH STREET,10023,175000,11/29/2018
325,45 CONDO HOTELS,155 WEST 66TH STREET,10023,295000,10/23/2018
326,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,235000,4/17/2018
327,45 CONDO HOTELS,155 WEST 66TH STREET,10023,178000,5/14/2018
328,45 CONDO HOTELS,155 W 66TH ST,10023,185000,3/6/2018
329,45 CONDO HOTELS,155 WEST 66TH STREET,10023,241500,9/13/2018
330,45 CONDO HOTELS,155 WEST 66TH STREET,10023,280000,1/24/2018
331,45 CONDO HOTELS,155 WEST 66TH STREET,10023,275000,6/20/2018
332,45 CONDO HOTELS,155 WEST 66TH   STREET,10023,285000,4/17/2018
333,45 CONDO HOTELS,155 WEST 66TH STREET,10023,295000,10/25/2018
334,45 CONDO HOTELS,155 WEST 66TH STREET,10023,245000,1/3/2018
335,45 CONDO HOTELS,155 WEST 66TH STREET,10023,0,11/14/2018
336,45 CONDO HOTELS,155 WEST 66TH STREET,10023,290000,6/8/2018
337,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,10/3/2019
338,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,10/3/2019
339,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,2237000,2/6/2019
340,45 CONDO HOTELS,1 CENTRAL PARK WEST,10023,0,2/25/2019
